,Horodateur,Boutique,code postal,Depuis combien de temps êtes vous un client de la Maison Pariès ?,A quelle fréquence venez-vous nous rendre visite ?,Comment nous avez-vous connus ?,"En 2 mots, comment définiriez-vous la Maison ?",A quelle(s) occasion(s) effectuez-vous des achats chez nous,Quel est le produit que vous préférez ?,Quel est le dernier produit de la gamme Pariès que vous connaissez ?,8. Quels sont les produits de nos gammes que vous achetez chez d’autres artisans ?,Pourquoi ?,Où achetez-vous nos produits ?,Avez-vous déjà eu l’occasion de commander nos produits sur notre site en ligne ?,"Si vous n'êtes pas de la région, aimeriez-vous pouvoir trouver nos produits à proximité de votre domicile ?",Pourquoi ?.1,Que devons-nous faire pour progresser ?,"14. Dans les grandes évolutions de la consommation, quelles sont les 3 qui vous tiennent le plus à cœur ?",Sexe,Quelle est votre catégorie socio-professionnelle ?,Tranche d'âge,de combien de personnes se compose votre foyer ?,"S'il y a des enfants dans votre foyer, quel âge ont-ils ?",Êtes-vous abonné à notre newsletter ?,"Si non, confiez-moi votre adresse mail pour recevoir notre actualité (moins de 10 mails par an)"
192,2022-06-15,Espelette,45200,Depuis quelques années,visite exceptionnelle,"avec vos parents, votre famille",Savoureux; Kanougas,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Kanougas,Gateau basque noisette,Touron,Proximité,En fonction de l'endroit où je me trouve,Non,oui,Proximité,Je ne sais pas,"Faire soi-même; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Employé,35/49,1.0,,Non,**********
193,2022-06-15,Espelette,44220,Depuis quelques années,visite exceptionnelle,Publicité,Bon,pour me faire plaisir,Macarons,Je ne sais pas,Viennoiseries,Proximité,En fonction de l'endroit où je me trouve,Non,oui,Proximité,Je ne sais pas,"Alimentation santé bien être et transparence; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Homme,Retraité,65 et +,2.0,,Non,
194,2022-06-15,Espelette,59260,C’est une de mes premières visites,C'est la première fois !,par hasard en passant devant,Qualité; Savoureux,pour me faire plaisir,Glaces,,,,,Non,,,,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Employé,35/49,2.0,,Non,
195,2022-06-15,Espelette,17200,C’est une de mes premières visites,C'est la première fois !,par hasard en passant devant,Fraicheur; Colorée,pour me faire plaisir,,,,,,Non,,,,"Alimentation santé bien être et transparence; Tradition et authenticité; Consommation économe (recherche de bonnes affaires, de prix bas, de promotions…)",Femme,Retraité,65 et +,1.0,,Non,
196,2022-06-15,Espelette,31470,Depuis quelques années,visite exceptionnelle,bouche à oreille,Qualité; Plaisant,pour me faire plaisir; pour faire un cadeau,Gateau basque,Je ne sais pas,Je ne sais pas,,En fonction de l'endroit où je me trouve,Non,oui,Proximité,Je ne sais pas,"Alimentation santé bien être et transparence; Faire soi-même; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Homme,Retraité,65 et +,2.0,,Non,**********
197,2022-06-15,Espelette,82100,C’est une de mes premières visites,C'est la première fois !,par hasard en passant devant,Belle; Attrayant,pour me faire plaisir; pour régaler ma famille,Gateau basque,,,,,Non,oui,Proximité,,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Tradition et authenticité",Femme,Employé,35/49,3.0,entre 5 et 10 ans,Non,
198,2022-06-15,Espelette,44***,C’est une de mes premières visites,C'est la première fois !,par hasard en passant devant,Ordonnée; Moderne,pour me faire plaisir,Glaces,,,,,Non,,,,"Alimentation santé bien être et transparence; Faire soi-même; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,"Artisan, commerçant, chef d'entreprise",25/34,1.0,,Non,
199,2022-06-15,Espelette,49140,C’est une de mes premières visites,C'est la première fois !,bouche à oreille,Accueillant; Fraicheur,pour me faire plaisir,,,,,,Non,Non,Associé à la région,,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Tradition et authenticité",Femme,Profession libérale,50/64,2.0,,Non,
200,2022-06-17,Bordeaux,33300,Depuis toujours,visite exceptionnelle,"avec vos parents, votre famille",Accueillant,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Kanougas,Viennoiseries Feuillantine,Aucun,,En fonction de l'endroit où je me trouve,oui,,,Mettre plus les chocolats en avant,"Faire soi-même; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Employé,65 et +,1.0,,Oui,
201,2022-06-17,Bordeaux,75007,Depuis quelques années,visite exceptionnelle,"avec vos parents, votre famille",Macarons; Gâteau basque,pour me faire plaisir; pour régaler ma famille,Macarons,Je ne sais pas,Aucun,,En fonction de l'endroit où je me trouve,Non,,,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Tradition et authenticité",Femme,Retraité,65 et +,2.0,,Non,
202,2022-06-17,Bordeaux,33200,Depuis quelques années,visite exceptionnelle,bouche à oreille,Excellent,pour me faire plaisir; pour faire un cadeau,Gateau basque ,Je ne sais pas,Aucun,,En fonction de l'endroit où je me trouve,Non,,,Rien,"Faire soi-même; Tradition et authenticité; Consommation économe (recherche de bonnes affaires, de prix bas, de promotions…)",Femme,Retraité,65 et +,2.0,,Non,
203,2022-06-17,Bordeaux,33000,Depuis moins d'un an,visite exceptionnelle,par hasard en passant devant,Accueillant; Serviable,pour me faire plaisir; pour faire un cadeau,Gateau basque cerise,Je ne sais pas,Aucun,,Toujours dans la même boutique,Non,,,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Consommation économe (recherche de bonnes affaires, de prix bas, de promotions…)",Femme,Retraité,65 et +,1.0,,Non,
204,2022-06-17,Bordeaux,33800,Depuis quelques années,visite mensuelle,bouche à oreille,Tradition; Bon,pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Gateau basque,Je ne sais pas,Aucun,,En fonction de l'endroit où je me trouve,oui,,,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Profession libérale,25/34,2.0,,Non,
205,2022-06-17,Bordeaux,33000,Depuis quelques années,visite exceptionnelle,bouche à oreille,Bon,pour me faire plaisir; pour faire un cadeau,Gateau basque ,Je ne sais pas,Aucun,,En fonction de l'endroit où je me trouve,Non,,,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Tradition et authenticité",Femme,Cadre et profession intellectuelle supérieure,25/34,4.0,- de 5 ans,Non,
206,2022-06-17,Bordeaux,33000,Depuis quelques années,visite mensuelle,par hasard en passant devant,Qualité; Savoureux,pour me faire plaisir,Glaces,Je ne sais pas,Aucun,,Toujours dans la même boutique,Non,,,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Tradition et authenticité",Femme,Retraité,65 et +,2.0,,Non,
207,2022-06-17,Bordeaux,33000,Depuis quelques années,visite mensuelle,bouche à oreille,Fraicheur; Local,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Pâtisseries Béret basque,Pâtisseries Tarte aux fraises,Viennoiseries; Tarte salée; Pâtisseries,Proximité,En fonction de l'endroit où je me trouve,Non,,,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Tradition et authenticité",Femme,Retraité,65 et +,2.0,,Non,**********
208,2022-06-17,Bordeaux,33000,Depuis quelques années,visite exceptionnelle,par hasard en passant devant,Tradition; Savoureux,pour faire un cadeau,Espelines,Je ne sais pas,Pâtisseries; Tarte salée,Proximité,En fonction de l'endroit où je me trouve,Non,,,Rien,"Faire soi-même; Tradition et authenticité; Consommation économe (recherche de bonnes affaires, de prix bas, de promotions…)",Femme,Etudiant,25/34,2.0,,Non,
209,2022-06-17,Bordeaux,40***,Depuis quelques années,visite exceptionnelle,"avec vos parents, votre famille",Bon; Qualité,pour faire un cadeau,Chocolat,Kit à faire soi même,Pâtisseries,Proximité,Toujours dans la même boutique,Non,,,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Etudiant,18/24,3.0,,Non,
210,2022-06-17,Bordeaux,33400,Depuis quelques années,visite mensuelle,bouche à oreille,Qualité; Savoureux,pour me faire plaisir; pour faire un cadeau,Gateau basque aux agrumes,Je ne sais pas,Gateau basque,Proximité,Toujours dans la même boutique,Non,,,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Tradition et authenticité",Femme,Cadre et profession intellectuelle supérieure,35/49,4.0,entre 5 et 10 ans,Non,
211,2022-06-17,Bordeaux,33000,Depuis quelques années,visite mensuelle,par hasard en passant devant,Attrayant,pour me faire plaisir; pour faire un cadeau,Gateau basque noisette; Pâtisseries Russe,Gateau de voyage Eguskia,Viennoiseries Madeleines,Meilleur ailleurs,Toujours dans la même boutique,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Consommation économe (recherche de bonnes affaires, de prix bas, de promotions…)",Femme,Employé,25/34,2.0,,Non,
212,2022-06-17,Bordeaux,33300,Depuis quelques années,visite exceptionnelle,par hasard en passant devant,Qualité; Savoureux,pour faire un cadeau,Gateau basque,Je ne sais pas,Aucun,,Toujours dans la même boutique,Non,,,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Cadre et profession intellectuelle supérieure,35/49,4.0,"entre 5 et 10 ans, entre 11 et 15 ans",Non,
213,2022-06-17,Bordeaux,33000,Depuis quelques années,visite mensuelle,bouche à oreille,Bon,pour faire un cadeau,Mouchous,Je ne sais pas,Gateau basque,Proximité,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Employé,18/24,1.0,,Non,
214,2022-06-17,Bordeaux,33000,Depuis quelques années,visite mensuelle,bouche à oreille,Fiable,pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Gateau basque,Je ne sais pas,Viennoiseries Croissant; Macarons; Chocolat,Proximité,En fonction de l'endroit où je me trouve,Non,,,Continuer,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Tradition et authenticité",Femme,Cadre et profession intellectuelle supérieure,50/64,4.0,plus de 15 ans,Non,
215,2022-06-17,Bordeaux,33000,Depuis moins d'un an,visite mensuelle,par hasard en passant devant,Savoureux,pour me faire plaisir; pour faire un cadeau,Gateau basque; Pâtisseries Fraisier,Je ne sais pas,Aucun,,Toujours dans la même boutique,Non,,,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Faire soi-même",Femme,Employé,35/49,4.0,entre 11 et 15 ans,Non,
216,2022-06-17,Bordeaux,33000,Depuis quelques années,visite exceptionnelle,par hasard en passant devant,Tradition; Bon,pour faire un cadeau; Fêtes,Chocolat,Je ne sais pas,Chocolat,Pour changer,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Etudiant,25/34,1.0,,Non,
217,2022-06-17,Bordeaux,95420,C’est une de mes premières visites,visite exceptionnelle,par hasard en passant devant,Acceuillant,pour me faire plaisir,,,,,Toujours dans la même boutique,Non,Non,Associé à la région,,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Faire soi-même",Homme,Profession libérale,50/64,3.0,plus de 15 ans,Non,
218,2022-06-17,Bordeaux,40460,Depuis quelques années,visite exceptionnelle,par hasard en passant devant,Mouchous; Amande,pour me faire plaisir,Mouchous,Espelines,Gateau basque,Proximité,Toujours dans la même boutique,Non,,,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Tradition et authenticité",Femme,Cadre et profession intellectuelle supérieure,35/49,2.0,,Non,
219,2022-06-17,Bordeaux,33000,Depuis quelques années,visite exceptionnelle,par hasard en passant devant,Bon,pour me faire plaisir,Gateau basque,Je ne sais pas,Aucun,,Toujours dans la même boutique,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Faire soi-même",Homme,"Artisan, commerçant, chef d'entreprise",50/64,2.0,,Non,
220,2022-06-17,Bordeaux,33***,Depuis quelques années,visite exceptionnelle,par hasard en passant devant,Savoureux; Accueillant,quand je reçois du monde ou quand je suis invitée,Gateau basque ,Gateau de voyage,Aucun,,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Tradition et authenticité",Femme,Profession libérale,25/34,4.0,- de 5 ans,Non,
221,2022-06-17,Bordeaux,65000,Depuis moins d'un an,visite exceptionnelle,Cadeau,Chic; Savoureux,pour faire un cadeau,Espelines,Glaces,Viennoiseries,Proximité,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,"Faire soi-même; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan); Consommation économe (recherche de bonnes affaires, de prix bas, de promotions…)",Femme,Employé,18/24,1.0,,Non,
222,2022-06-17,Bordeaux,33000,Depuis quelques années,visite mensuelle,bouche à oreille,Tradition; Professionnelle,pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Gateau basque ,Je ne sais pas,Viennoiseries,Proximité,En fonction de l'endroit où je me trouve,Non,,,Continuer,"Digital et alimentation (recherches en amont, acte d’achat, évaluation de l’acte d’achat); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Homme,Retraité,65 et +,2.0,,Non,
223,2022-06-17,Bordeaux,33320,Depuis quelques années,visite mensuelle,bouche à oreille,Savoureux; Tradition,pour me faire plaisir; pour faire un cadeau,Gateau basque,Je ne sais pas,Pâtisseries,Proximité,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Tradition et authenticité",Femme,Employé,35/49,4.0,entre 5 et 10 ans,Non,
224,2022-06-17,Bordeaux,33000,Depuis quelques années,visite mensuelle,bouche à oreille,Local; Bon,pour me faire plaisir; pour faire un cadeau,Touron,Je ne sais pas,Aucun,,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Digital et alimentation (recherches en amont, acte d’achat, évaluation de l’acte d’achat); Tradition et authenticité",Femme,Cadre et profession intellectuelle supérieure,35/49,4.0,"- de 5 ans, entre 5 et 10 ans",Non,
225,2022-06-17,Bordeaux,33***,Depuis quelques années,visite mensuelle,bouche à oreille,Gâteau basque,pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Gateau basque,Je ne sais pas,Aucun,,En fonction de l'endroit où je me trouve,Non,,,Plus de boutiques,"Faire soi-même; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Cadre et profession intellectuelle supérieure,35/49,3.0,entre 11 et 15 ans,Non,
226,2022-06-17,Bordeaux,91290,Depuis quelques années,visite exceptionnelle,par hasard en passant devant,Accueillant; Savoureux,pour régaler ma famille; quand je reçois du monde ou quand je suis invitée,Gateau basque,Je ne sais pas,Pâtisseries,Habitude,En fonction de l'endroit où je me trouve,oui,,,Coordonnées bancaires demandées par téléphone lors de commande (déplaisant),"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Profession libérale,50/64,6.0,plus de 15 ans,Non,
227,2022-06-18,Bordeaux,33270,Depuis moins d'un an,visite mensuelle,bouche à oreille,Bon; Belle,pour faire un cadeau,Kanougas,Pâtisseries Russe,Chocolat,Pour changer,En fonction de l'endroit où je me trouve,Non,,,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Cadre et profession intellectuelle supérieure,35/49,3.0,plus de 15 ans,Non,**********
228,2022-06-18,Bordeaux,33000,C’est une de mes premières visites,C'est la première fois !,par hasard en passant devant,Moderne; Lumineuse,pour me faire plaisir; pour régaler ma famille,,,,,,Non,,,,Alimentation santé bien être et transparence; Faire soi-même,Femme,Cadre et profession intellectuelle supérieure,50/64,3.0,plus de 15 ans,Non,
229,2022-06-18,Bordeaux,33000,Depuis moins d'un an,visite exceptionnelle,par hasard en passant devant,Bon; Raffiné,pour faire un cadeau,Mouchous,Je ne sais pas,Chocolat,Habitude,Toujours dans la même boutique,Non,,,Je ne sais pas,"Faire soi-même; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Cadre et profession intellectuelle supérieure,50/64,1.0,,Non,
230,2022-06-18,Bordeaux,33000,Depuis quelques années,visite hebdomadaire,bouche à oreille,Qualité; Sucrée,pour me faire plaisir; pour faire un cadeau,Viennoiseries Chausson aux pommes,Je ne sais pas,Gateau basque; Glaces,Proximité,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,Alimentation santé bien être et transparence; Faire soi-même; Tradition et authenticité,Homme,"Artisan, commerçant, chef d'entreprise",25/34,3.0,- de 5 ans,Non,
231,2022-06-18,Bordeaux,33000,Depuis quelques années,visite mensuelle,bouche à oreille,Savoureux; Qualité,quand je reçois du monde ou quand je suis invitée,Gateau basque,Je ne sais pas,Viennoiseries,Proximité,Toujours dans la même boutique,Non,,,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Employé,35/49,3.0,entre 5 et 10 ans,Non,
232,2022-06-18,Bordeaux,75015,Depuis toujours,visite mensuelle,"avec vos parents, votre famille",Simplicité; Bon,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Gateau basque cerise,Chocolat,Chocolat,Habitude,En fonction de l'endroit où je me trouve,Non,,,Service plus rapide,"Alimentation santé bien être et transparence; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Cadre et profession intellectuelle supérieure,18/24,2.0,,Non,
233,2022-06-18,Bordeaux,33000,Depuis quelques années,visite exceptionnelle,bouche à oreille,Raisonnable; Savoureux,pour me faire plaisir; pour faire un cadeau,Gateau basque; Espelines,Pâtisseries,Pâtisseries,Habitude,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Tradition et authenticité",Femme,Cadre et profession intellectuelle supérieure,50/64,4.0,entre 11 et 15 ans,Non,
234,2022-06-18,Bordeaux,33000,Depuis quelques années,visite exceptionnelle,par hasard en passant devant,Bon; Tradition,quand je reçois du monde ou quand je suis invitée,Gateau basque,Je ne sais pas,Pâtisseries,Proximité,Toujours dans la même boutique,Non,,,Limiter les emballages,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Employé,50/64,1.0,,Non,
235,2022-06-18,Bordeaux,64500,Depuis toujours,visite hebdomadaire,"avec vos parents, votre famille",Tradition,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Espelines,Kit à faire soi même,Gateau basque,Bon aussi ailleurs,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,"Artisan, commerçant, chef d'entreprise",18/24,1.0,,Non,
236,2022-06-18,Bordeaux,33720,C’est une de mes premières visites,visite exceptionnelle,bouche à oreille,Savoureux; Accueillant,pour me faire plaisir,Gateau basque chocolat,,Je ne sais pas,,Toujours dans la même boutique,Non,,,Je ne sais pas,Alimentation santé bien être et transparence,Femme,Employé,25/34,2.0,,Non,
237,2022-06-18,Bordeaux,33200,Depuis quelques années,visite exceptionnelle,par hasard en passant devant,Colorée; Amande,pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Mouchous,Je ne sais pas,Gateau basque,Proximité,En fonction de l'endroit où je me trouve,Non,,,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Employé,35/49,4.0,entre 11 et 15 ans,Non,
238,2022-06-18,Bordeaux,33160,Depuis quelques années,visite exceptionnelle,bouche à oreille,Bon ,pour me faire plaisir; pour faire un cadeau,Gateau basque,Je ne sais pas,Confiture,Proximité,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Employé,50/64,2.0,,Non,**********
239,2022-06-18,Bordeaux,33000,Depuis quelques années,visite hebdomadaire,par hasard en passant devant,Accueillant; Bon,pour me faire plaisir,Pâtisseries Doréat,Je ne sais pas,Aucun,,Toujours dans la même boutique,Non,,,Rien,"Faire soi-même; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Retraité,65 et +,2.0,,Non,
240,2022-06-18,Bordeaux,33000,Depuis quelques années,visite exceptionnelle,bouche à oreille,Tradition,pour me faire plaisir; pour faire un cadeau,Mouchous,Je ne sais pas,Pâtisseries,Proximité,En fonction de l'endroit où je me trouve,Non,,,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Tradition et authenticité",Femme,Retraité,65 et +,2.0,,Non,
241,2022-06-18,Bordeaux,33000,Depuis quelques années,visite mensuelle,bouche à oreille,Moderne; Tradition,quand je reçois du monde ou quand je suis invitée,Gateau basque aux agrumes,Je ne sais pas,Pâtisseries,Proximité,En fonction de l'endroit où je me trouve,Non,,,Diversifier les parfums de gateaux basques ,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Tradition et authenticité",Femme,Cadre et profession intellectuelle supérieure,35/49,4.0,"- de 5 ans, entre 5 et 10 ans",Non,
242,2022-06-18,Bordeaux,33700,Depuis quelques années,visite exceptionnelle,bouche à oreille,Local,pour me faire plaisir; quand je reçois du monde ou quand je suis invitée,Gateau basque,Je ne sais pas,Aucun,,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Faire soi-même",Femme,Retraité,65 et +,2.0,,Non,
243,2022-06-18,Bordeaux,33000,Depuis quelques années,visite hebdomadaire,bouche à oreille,Artisanale; Bon,pour me faire plaisir; pour régaler ma famille,Mouchous; Glaces,Je ne sais pas,Chocolat,Chocolat : plus de choix de chocolat noir ailleurs,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Employé,35/49,3.0,entre 5 et 10 ans,Non,
244,2022-06-18,Bordeaux,33240,Depuis quelques années,visite mensuelle,par hasard en passant devant,Savoureux,pour me faire plaisir,Gateau basque,Je ne sais pas,Aucun,,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Employé,35/49,3.0,plus de 15 ans,Non,
245,2022-06-18,Bordeaux,16200,Depuis toujours,visite exceptionnelle,"avec vos parents, votre famille",Bon,pour me faire plaisir; pour faire un cadeau,Gateau basque aux agrumes,Gâteau basque aux agrumes,Viennoiseries,Habitude; Proximité,En fonction de l'endroit où je me trouve,Non,oui,Proximité,Rien,"Faire soi-même; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Homme,Retraité,65 et +,2.0,,Non,
246,2022-06-18,Bordeaux,33370,Depuis quelques années,visite exceptionnelle,par hasard en passant devant,Chaleureux; Tradition,pour faire un cadeau,Gateau basque,Je ne sais pas,Chocolat,Habitude,En fonction de l'endroit où je me trouve,Non,,,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Employé,25/34,3.0,- de 5 ans,Non,
247,2022-06-20,Biarritz,32000,Depuis quelques années,visite exceptionnelle,par hasard en passant devant,Savoureux; Local,pour me faire plaisir,Mouchous,Espelines,Chocolat,Proximité,En fonction de l'endroit où je me trouve,Non,oui,Proximité,Baisser les frais de port sur le site internet,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Employé,35/49,1.0,,Non,**********
248,2022-06-20,Biarritz,64200,Depuis quelques années,visite hebdomadaire,bouche à oreille,Qualité; Tradition,pour me faire plaisir,Gateau basque,Espelines,Aucun,,En fonction de l'endroit où je me trouve,Non,,,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Homme,Cadre et profession intellectuelle supérieure,35/49,3.0,entre 11 et 15 ans,Non,
249,2022-06-20,Biarritz,64200,Depuis quelques années,visite hebdomadaire,bouche à oreille,Mouchous; Accueillant,pour me faire plaisir; pour régaler ma famille,Mouchous,Je ne sais pas,Chocolat,Pour changer,Toujours dans la même boutique,Non,,,Diversifier les boites de chocolats,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Homme,Retraité,50/64,2.0,,Non,
250,2022-06-20,Biarritz,94420,C’est une de mes premières visites,visite exceptionnelle,par hasard en passant devant,Attrayant,pour me faire plaisir,Mouchous,Je ne sais pas,Aucun,,Toujours dans la même boutique,Non,,,Je ne sais pas,"Alimentation santé bien être et transparence; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Cadre et profession intellectuelle supérieure,35/49,3.0,plus de 15 ans,Non,
251,2022-06-20,Biarritz,74200,C’est une de mes premières visites,C'est la première fois !,par hasard en passant devant,Savoureux,pour me faire plaisir,Chocolat,Je ne sais pas,,,,Non,,,,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Tradition et authenticité",Femme,"Artisan, commerçant, chef d'entreprise",50/64,2.0,,Non,
